Year,Rank,Company,Ticker,MarketCap_BillionsUSD,ticker,sector,displayName
2015,13,PFIZER INC.,PFE,188.83,PFE,Health Care,PFIZER INC.
2015,14,VERIZON COMMUNICATIONS INC.,VZ,188.26,VZ,Communication Services,VERIZON COMMS INC.
2015,15,VISA INC.,V,185.77,V,Financials,VISA INC.
2015,16,THE COCA-COLA COMPANY,KO,185.76,KO,Consumer Staples,THE COCA-COLA COMPANY
2015,17,GENERAL ELECTRIC COMPANY,GE,182.2,GE,Industrials,GENERAL ELECTRIC COMPANY
2015,18,BANK OF AMERICA CORPORATION,BAC,174.7,BAC,Financials,BANK OF AMERICA CORP
2015,19,THE WALT DISNEY COMPANY,DIS,173.72,DIS,Communication Services,THE WALT DISNEY COMPANY
2015,20,CHEVRON CORPORATION,CVX,169.38,CVX,Energy,CHEVRON CORP
2016,1,APPLE INC.,AAPL,608.96,AAPL,Information Technology,APPLE INC.
2016,2,ALPHABET INC.,GOOG,546.19,GOOG,Communication Services,ALPHABET INC.
2016,3,MICROSOFT CORPORATION,MSFT,483.16,MSFT,Information Technology,MICROSOFT CORP
2016,4,BERKSHIRE HATHAWAY INC.,BRK.A,401.92,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2016,5,EXXON MOBIL CORPORATION,XOM,374.28,XOM,Energy,EXXON MOBIL CORP
2016,6,"AMAZON.COM, INC.",AMZN,356.31,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2016,7,"Meta Platforms, Inc.",META,331.59,META,Communication Services,"Meta Platforms, Inc."
2016,8,JOHNSON & JOHNSON,JNJ,313.43,JNJ,Health Care,JOHNSON & JOHNSON
2016,9,JPMORGAN CHASE & CO.,JPM,308.77,JPM,Financials,JPMORGAN CHASE & CO.
2016,10,WELLS FARGO & COMPANY,WFC,276.78,WFC,Financials,WELLS FARGO & COMPANY
2016,11,THE PROCTER & GAMBLE COMPANY,PG,225,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2016,12,BANK OF AMERICA CORPORATION,BAC,223.32,BAC,Financials,BANK OF AMERICA CORP
2016,13,CHEVRON CORPORATION,CVX,222.19,CVX,Energy,CHEVRON CORP
2016,14,VERIZON COMMUNICATIONS INC.,VZ,217.61,VZ,Communication Services,VERIZON COMMS INC.
2016,15,WALMART INC.,WMT,212.42,WMT,Consumer Staples,WALMART INC.
2016,16,AT&T INC.,T,197.11,T,Communication Services,AT&T INC.
2016,17,PFIZER INC.,PFE,186.72,PFE,Health Care,PFIZER INC.
2016,18,VISA INC.,V,183.27,V,Financials,VISA INC.
2016,19,THE COCA-COLA COMPANY,KO,178.82,KO,Consumer Staples,THE COCA-COLA COMPANY
2016,20,GENERAL ELECTRIC COMPANY,GE,174.33,GE,Industrials,GENERAL ELECTRIC COMPANY
2017,1,APPLE INC.,AAPL,860.88,AAPL,Information Technology,APPLE INC.
2017,2,ALPHABET INC.,GOOG,731.9,GOOG,Communication Services,ALPHABET INC.
2017,3,MICROSOFT CORPORATION,MSFT,659.91,MSFT,Information Technology,MICROSOFT CORP
2017,4,"AMAZON.COM, INC.",AMZN,563.54,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2017,5,"Meta Platforms, Inc.",META,512.76,META,Communication Services,"Meta Platforms, Inc."
2017,6,BERKSHIRE HATHAWAY INC.,BRK.A,489.05,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2017,7,JOHNSON & JOHNSON,JNJ,375.36,JNJ,Health Care,JOHNSON & JOHNSON
2017,8,JPMORGAN CHASE & CO.,JPM,371.05,JPM,Financials,JPMORGAN CHASE & CO.
2017,9,EXXON MOBIL CORPORATION,XOM,354.39,XOM,Energy,EXXON MOBIL CORP
2017,10,BANK OF AMERICA CORPORATION,BAC,307.91,BAC,Financials,BANK OF AMERICA CORP
2017,11,WELLS FARGO & COMPANY,WFC,298.75,WFC,Financials,WELLS FARGO & COMPANY
2017,12,WALMART INC.,WMT,292.54,WMT,Consumer Staples,WALMART INC.
2017,13,VISA INC.,V,260.92,V,Financials,VISA INC.
2017,14,CHEVRON CORPORATION,CVX,237.78,CVX,Energy,CHEVRON CORP
2017,15,THE PROCTER & GAMBLE COMPANY,PG,233.1,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2017,16,"THE HOME DEPOT, INC.",HD,221.32,HD,Consumer Discretionary,"THE HOME DEPOT, INC."
2017,17,INTEL CORPORATION,INTC,216.03,INTC,Information Technology,INTEL CORP
2017,18,VERIZON COMMUNICATIONS INC.,VZ,215.92,VZ,Communication Services,VERIZON COMMS INC.
2017,19,UNITEDHEALTH GROUP INCORPORATED,UNH,213.64,UNH,Health Care,United Health Group Inc
2017,20,PFIZER INC.,PFE,204.53,PFE,Health Care,PFIZER INC.
2018,1,MICROSOFT CORPORATION,MSFT,780.36,MSFT,Information Technology,MICROSOFT CORP
2018,2,APPLE INC.,AAPL,746.08,AAPL,Information Technology,APPLE INC.
2018,3,"AMAZON.COM, INC.",AMZN,737.47,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2018,4,ALPHABET INC.,GOOG,726.83,GOOG,Communication Services,ALPHABET INC.
2018,5,BERKSHIRE HATHAWAY INC.,BRK.A,502.57,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2018,6,"Meta Platforms, Inc.",META,374.13,META,Communication Services,"Meta Platforms, Inc."
2018,7,JOHNSON & JOHNSON,JNJ,343.57,JNJ,Health Care,JOHNSON & JOHNSON
2018,8,JPMORGAN CHASE & CO.,JPM,319.78,JPM,Financials,JPMORGAN CHASE & CO.
2018,9,VISA INC.,V,293.97,V,Financials,VISA INC.
2018,10,EXXON MOBIL CORPORATION,XOM,288.92,XOM,Energy,EXXON MOBIL CORP
2018,11,WALMART INC.,WMT,270.62,WMT,Consumer Staples,WALMART INC.
2018,12,UNITEDHEALTH GROUP INCORPORATED,UNH,239.16,UNH,Health Care,United Health Group Inc
2018,13,BANK OF AMERICA CORPORATION,BAC,238.25,BAC,Financials,BANK OF AMERICA CORP
2018,14,PFIZER INC.,PFE,236.4,PFE,Health Care,PFIZER INC.
2018,15,VERIZON COMMUNICATIONS INC.,VZ,232.3,VZ,Communication Services,VERIZON COMMS INC.
2018,16,THE PROCTER & GAMBLE COMPANY,PG,229.95,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2018,17,INTEL CORPORATION,INTC,211.94,INTC,Information Technology,INTEL CORP
2018,18,WELLS FARGO & COMPANY,WFC,211.1,WFC,Financials,WELLS FARGO & COMPANY
2018,19,CHEVRON CORPORATION,CVX,207.01,CVX,Energy,CHEVRON CORP
2018,20,THE COCA-COLA COMPANY,KO,202.1,KO,Consumer Staples,THE COCA-COLA COMPANY
2019,1,APPLE INC.,AAPL,1288,AAPL,Information Technology,APPLE INC.
2019,2,MICROSOFT CORPORATION,MSFT,1200,MSFT,Information Technology,MICROSOFT CORP
2019,3,ALPHABET INC.,GOOGL,921.95,GOOGL,Communication Services,ALPHABET INC.
2019,4,"AMAZON.COM, INC.",AMZN,920.22,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2019,5,"Meta Platforms, Inc.",META,585.37,META,Communication Services,"Meta Platforms, Inc."
2019,6,BERKSHIRE HATHAWAY INC.,BRK.A,552.08,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2019,7,JPMORGAN CHASE & CO.,JPM,429.91,JPM,Financials,JPMORGAN CHASE & CO.
2019,8,VISA INC.,V,409.44,V,Financials,VISA INC.
2019,9,JOHNSON & JOHNSON,JNJ,384,JNJ,Health Care,JOHNSON & JOHNSON
2019,10,WALMART INC.,WMT,337.17,WMT,Consumer Staples,WALMART INC.
2019,11,BANK OF AMERICA CORPORATION,BAC,311.21,BAC,Financials,BANK OF AMERICA CORP
2019,12,THE PROCTER & GAMBLE COMPANY,PG,308.43,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2019,13,MASTERCARD INCORPORATED.,MA,300.8,MA,Financials,MASTERCARD INC.
2019,14,EXXON MOBIL CORPORATION,XOM,295.45,XOM,Energy,EXXON MOBIL CORP
2019,15,UNITEDHEALTH GROUP INCORPORATED,UNH,278.69,UNH,Health Care,United Health Group Inc
2019,16,THE WALT DISNEY COMPANY,DIS,257.59,DIS,Communication Services,THE WALT DISNEY COMPANY
2019,17,INTEL CORPORATION,INTC,256.76,INTC,Information Technology,INTEL CORP
2019,18,VERIZON COMMUNICATIONS INC.,VZ,253.94,VZ,Communication Services,VERIZON COMMS INC.
2019,19,"THE HOME DEPOT, INC.",HD,238.22,HD,Consumer Discretionary,"THE HOME DEPOT, INC."
2019,20,THE COCA-COLA COMPANY,KO,236.91,KO,Consumer Staples,THE COCA-COLA COMPANY
2020,1,APPLE INC.,AAPL,2232,AAPL,Information Technology,APPLE INC.
2020,2,MICROSOFT CORPORATION,MSFT,1678,MSFT,Information Technology,MICROSOFT CORP
2020,3,"AMAZON.COM, INC.",AMZN,1638,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2020,4,ALPHABET INC.,GOOG,1183,GOOG,Communication Services,ALPHABET INC.
2020,5,"Meta Platforms, Inc.",META,778.23,META,Communication Services,"Meta Platforms, Inc."
2020,6,"TESLA, INC.",TSLA,677.44,TSLA,Consumer Discretionary,"TESLA, INC."
2020,7,BERKSHIRE HATHAWAY INC.,BRK.A,537,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2020,8,VISA INC.,V,473.78,V,Financials,VISA INC.
2020,9,JOHNSON & JOHNSON,JNJ,414.31,JNJ,Health Care,JOHNSON & JOHNSON
2020,10,WALMART INC.,WMT,407.84,WMT,Consumer Staples,WALMART INC.
2020,11,JPMORGAN CHASE & CO.,JPM,387.49,JPM,Financials,JPMORGAN CHASE & CO.
2020,12,MASTERCARD INCORPORATED.,MA,355.32,MA,Financials,MASTERCARD INC.
2020,13,THE PROCTER & GAMBLE COMPANY,PG,342.63,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2020,14,UNITEDHEALTH GROUP INCORPORATED,UNH,331.74,UNH,Health Care,United Health Group Inc
2020,15,THE WALT DISNEY COMPANY,DIS,328.02,DIS,Communication Services,THE WALT DISNEY COMPANY
2020,16,NVIDIA CORPORATION,NVDA,323.24,NVDA,Information Technology,NVIDIA CORP
2020,17,"THE HOME DEPOT, INC.",HD,285.97,HD,Consumer Discretionary,"THE HOME DEPOT, INC."
2020,18,"PAYPAL HOLDINGS, INC.",PYPL,274.41,PYPL,Financials,"PAYPAL HOLDINGS, INC."
2020,19,BANK OF AMERICA CORPORATION,BAC,262.21,BAC,Financials,BANK OF AMERICA CORP
2020,20,VERIZON COMMUNICATIONS INC.,VZ,243.12,VZ,Communication Services,VERIZON COMMS INC.
2021,1,APPLE INC.,AAPL,2902,AAPL,Information Technology,APPLE INC.
2021,2,MICROSOFT CORPORATION,MSFT,2522,MSFT,Information Technology,MICROSOFT CORP
2021,3,ALPHABET INC.,GOOGL,1918,GOOGL,Communication Services,ALPHABET INC.
2021,4,"AMAZON.COM, INC.",AMZN,1697,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2021,5,"TESLA, INC.",TSLA,1092,TSLA,Consumer Discretionary,"TESLA, INC."
2021,6,"Meta Platforms, Inc.",META,921.94,META,Communication Services,"Meta Platforms, Inc."
2021,7,NVIDIA CORPORATION,NVDA,735.28,NVDA,Information Technology,NVIDIA CORP
2021,8,BERKSHIRE HATHAWAY INC.,BRK.A,662.63,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2021,9,UNITEDHEALTH GROUP INCORPORATED,UNH,472.51,UNH,Health Care,United Health Group Inc
2021,10,JPMORGAN CHASE & CO.,JPM,466.21,JPM,Financials,JPMORGAN CHASE & CO.
2021,11,VISA INC.,V,460.95,V,Financials,VISA INC.
2021,12,JOHNSON & JOHNSON,JNJ,450.36,JNJ,Health Care,JOHNSON & JOHNSON
2021,13,"THE HOME DEPOT, INC.",HD,433.37,HD,Consumer Discretionary,"THE HOME DEPOT, INC."
2021,14,"Wal-Mart de México, S.A.B. de C.V.",WMMVY,401.35,WMT,Consumer Staples,"Wal-Mart de México, S.A.B. de C.V."
2021,15,THE PROCTER & GAMBLE COMPANY,PG,392.11,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2021,16,BANK OF AMERICA CORPORATION,BAC,359.38,BAC,Financials,BANK OF AMERICA CORP
2021,17,MASTERCARD INCORPORATED.,MA,352.13,MA,Financials,MASTERCARD INC.
2021,18,PFIZER INC.,PFE,331.86,PFE,Health Care,PFIZER INC.
2021,19,THE WALT DISNEY COMPANY,DIS,281.54,DIS,Communication Services,THE WALT DISNEY COMPANY
2021,20,BROADCOM INC.,AVGO,274.73,AVGO,Information Technology,BROADCOM INC.
